Title	ISSN	Parent	Format
International Journal of Antimicrobial Agents	0924-8579	elsevier-vancouver	numeric
L'Anthropologie	0003-5521	elsevier-harvard	author-date
Journal des Anti-infectieux	2210-6545	elsevier-vancouver	numeric
Journal of Anxiety Disorders	0887-6185	apa	author-date
Annals of Agricultural Sciences	0570-1783	elsevier-harvard	author-date
Annals of Global Health	2214-9996	american-medical-association	numeric
AORN Journal	0001-2092	american-medical-association	numeric
Accounting, Organizations and Society	0361-3682	apa	author-date
Applied Acoustics	0003-682X	elsevier-vancouver	numeric
Applied Catalysis A, General	0926-860X	elsevier-without-titles	numeric
Applied Catalysis B: Environmental	0926-3373	elsevier-without-titles	numeric
APCBEE Procedia	2212-6708	elsevier-with-titles	numeric
Applied Energy	0306-2619	elsevier-vancouver	numeric
Asian Pacific Journal of Tropical Disease	2222-1808	vancouver-author-date	author-date
Applied Mathematical Modelling	0307-904X	elsevier-with-titles	numeric
Apollo Medicine	0976-0016	american-medical-association	numeric
Applied Ocean Research	0141-1187	elsevier-vancouver	numeric
Journal of Applied Developmental Psychology	0193-3973	apa	author-date
Appetite	0195-6663	apa	author-date
Journal of Applied Geophysics	0926-9851	elsevier-harvard	author-date
Applied Animal Behaviour Science	0168-1591	elsevier-harvard	author-date
Applied Soil Ecology	0929-1393	elsevier-harvard	author-date
Applied Surface Science	0169-4332	elsevier-with-titles	numeric
Advanced Powder Technology	0921-8831	elsevier-with-titles	numeric
Aquatic Botany	0304-3770	elsevier-harvard	author-date
Aquatic Procedia	2214-241X	elsevier-harvard	author-date
Aquatic Toxicology	0166-445X	elsevier-harvard	author-date
Aquaculture	0044-8486	elsevier-harvard	author-date
Aquacultural Engineering	0144-8609	elsevier-harvard	author-date
Arabian Journal of Chemistry	1878-5352	elsevier-harvard	author-date
Archives de pédiatrie	0929-693X	elsevier-vancouver	numeric
Applied Radiation and Isotopes	0969-8043	elsevier-harvard	author-date
Ageing Research Reviews	1568-1637	elsevier-harvard	author-date
Acupuncture and Related Therapies	2211-7660	elsevier-vancouver	numeric
Artificial Intelligence	0004-3702	elsevier-with-titles	numeric
Artificial Intelligence In Medicine	0933-3657	elsevier-vancouver	numeric
Astronomy and Computing	2213-1337	elsevier-harvard	author-date
Arthropod Structure and Development	1467-8039	elsevier-harvard	author-date
Ain Shams Engineering Journal	2090-4479	elsevier-vancouver	numeric
Journal of Asian Economics	1049-0078	apa	author-date
Asian Journal of Surgery	1015-9584	american-medical-association	numeric
Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology	2214-6873	american-medical-association	numeric
Applied Soft Computing Journal	1568-4946	elsevier-with-titles	numeric
Journal of Asia-Pacific Entomology	1226-8615	elsevier-harvard	author-date
Astroparticle Physics	0927-6505	elsevier-with-titles	numeric
New Astronomy Reviews	1387-6473	elsevier-harvard	author-date
Assessing Writing	1075-2935	apa	author-date
Applied Thermal Engineering	1359-4311	elsevier-with-titles	numeric
Applied & Translational Genomics	2212-0661	elsevier-harvard	author-date
Atherosclerosis	0021-9150	elsevier-vancouver	numeric
Atherosclerosis (Supplements) (Component)	1567-5688	elsevier-vancouver	numeric
Atmospheric Research	0169-8095	elsevier-harvard	author-date
Journal of Atmospheric and Solar-Terrestrial Physics	1364-6826	elsevier-harvard	author-date
Annals of Tourism Research	0160-7383	apa	author-date
The Annals of Thoracic Surgery	0003-4975	elsevier-vancouver	numeric
Automatica	0005-1098	apa	author-date
Automation in Construction	0926-5805	elsevier-with-titles	numeric
Autonomic Neuroscience: Basic and Clinical	1566-0702	elsevier-harvard	author-date
Autoimmunity Reviews	1568-9972	elsevier-vancouver	numeric
Aggression and Violent Behavior	1359-1789	apa	author-date
Antiviral Research	0166-3542	elsevier-harvard	author-date
Basic and Applied Ecology	1439-1791	apa	author-date
Building and Environment	0360-1323	elsevier-vancouver	numeric
Basal Ganglia	2210-5336	elsevier-vancouver	numeric
BBA - Bioenergetics	0005-2728	elsevier-with-titles	numeric
BBA - Reviews on Cancer	0304-419X	elsevier-with-titles	numeric
BBA Clinical	2214-6474	elsevier-with-titles	numeric
BBA - Molecular Basis of Disease	0925-4439	elsevier-with-titles	numeric
BBA - General Subjects	0304-4165	elsevier-with-titles	numeric
BBA - Gene Regulatory Mechanisms	1874-9399	elsevier-with-titles	numeric
BBA - Molecular and Cell Biology of Lipids	1388-1981	elsevier-with-titles	numeric
BBA - Molecular Cell Research	0167-4889	elsevier-with-titles	numeric
BBA - Biomembranes	0005-2736	elsevier-with-titles	numeric
BBA - Proteins and Proteomics	1570-9639	elsevier-with-titles	numeric
Biocybernetics and Biomedical Engineering	0208-5216	elsevier-vancouver	numeric
Behavioural Brain Research	0166-4328	elsevier-vancouver	numeric
International Journal of Biochemistry and Cell Biology	1357-2725	vancouver-author-date	author-date
Biocatalysis and Agricultural Biotechnology	1878-8181	elsevier-harvard	author-date
Bioactive Carbohydrates and Dietary Fibre	2212-6198	apa	author-date
Biochemical Pharmacology	0006-2952	elsevier-vancouver	numeric
Biomolecular Detection and Quantification	2214-7535	elsevier-vancouver	numeric
Big Data Research	2214-5796	elsevier-with-titles	numeric
Biochemical Engineering Journal	1369-703X	elsevier-with-titles	numeric
Behavioural Processes	0376-6357	elsevier-harvard	author-date
Behavior Therapy	0005-7894	apa	author-date
Biomarkers and Genomic Medicine	2214-0247	american-medical-association	numeric
Biologically Inspired Cognitive Architectures	2212-683X	apa	author-date
BioSystems	0303-2647	elsevier-harvard	author-date
Biological Conservation	0006-3207	elsevier-harvard	author-date
Biophysical Chemistry	0301-4622	elsevier-with-titles	numeric
Biochimie	0300-9084	elsevier-with-titles	numeric
Bioelectrochemistry	1567-5394	elsevier-with-titles	numeric
Biomedicine & Aging Pathology	2210-5220	elsevier-vancouver	numeric
BioMedicine	2211-8020	elsevier-vancouver	numeric
Biomedicine & Preventive Nutrition	2210-5239	elsevier-vancouver	numeric
Biomedicine & Pharmacotherapy	0753-3322	elsevier-vancouver	numeric
Biological Psychology	0301-0511	apa	author-date
Biosensors and Bioelectronics	0956-5663	elsevier-harvard	author-date
Journal of Biotechnology	0168-1656	elsevier-harvard	author-date
Borsa istanbul Review	2214-8450	apa	author-date
Bioresource Technology	0960-8524	elsevier-harvard	author-date
Beni-Suef University Journal of Basic and Applied Sciences	2314-8535	vancouver-author-date	author-date
Revista Brasileira de Farmacognosia	0102-695X	elsevier-harvard	author-date
Interbloc	0242-3960	elsevier-vancouver	numeric
Journal of Biomechanics	0021-9290	elsevier-harvard	author-date
Body Image	1740-1445	apa	author-date
Bone	8756-3282	elsevier-vancouver	numeric
Bone Reports	2352-1872	elsevier-harvard	author-date
Joint Bone Spine	1297-319X	elsevier-vancouver	numeric
Brain and Development	0387-7604	elsevier-vancouver	numeric
Brain Research Bulletin	0361-9230	elsevier-harvard	author-date
Brain Research	0006-8993	elsevier-harvard	author-date
BRQ Business Research Quarterly	2340-9436	elsevier-harvard	author-date
Brain Stimulation	1935-861X	elsevier-vancouver	numeric
Behaviour Research and Therapy	0005-7967	apa	author-date
Biochemical Systematics and Ecology	0305-1978	elsevier-harvard	author-date
Biomedical Signal Processing and Control	1746-8094	elsevier-with-titles	numeric
Journal of Behavior Therapy and Experimental Psychiatry	0005-7916	apa	author-date
Biotechnology Reports	2215-017X	elsevier-with-titles	numeric
Bulletin des sciences mathématiques	0007-4497	elsevier-with-titles	numeric
Burnout Research	2213-0586	elsevier-vancouver	numeric
Business Horizons	0007-6813	apa	author-date
Computers and Chemical Engineering	0098-1354	apa	author-date
Computers & Education	0360-1315	apa	author-date
Computers and Electrical Engineering	0045-7906	elsevier-vancouver	numeric
Computers and Fluids	0045-7930	elsevier-vancouver	numeric
Computers & Graphics	0097-8493	elsevier-vancouver	numeric
Computers and Geosciences	0098-3004	elsevier-harvard	author-date
Cahiers de la puéricultrice	0007-9820	elsevier-vancouver	numeric
Computers & Industrial Engineering	0360-8352	apa	author-date
Calphad	0364-5916	elsevier-with-titles	numeric
Journal of Computational and Applied Mathematics	0377-0427	elsevier-with-titles	numeric
Computers and Mathematics with Applications	0898-1221	elsevier-with-titles	numeric
Cancer Letters	0304-3835	elsevier-with-titles	numeric
Cancer Epidemiology	1877-7821	elsevier-vancouver	numeric
Cancer / Radiothérapie	1278-3218	elsevier-vancouver	numeric
Computers and Operations Research	0305-0548	elsevier-vancouver	numeric
Current Applied Physics	1567-1739	elsevier-with-titles	numeric
Carbon	0008-6223	elsevier-vancouver	numeric
Canadian Association of Radiologists Journal	0846-5371	elsevier-vancouver	numeric
Carbohydrate Polymers	0144-8617	apa	author-date
Cardiovascular Revascularization Medicine	1553-8389	elsevier-vancouver	numeric
Computers and Structures	0045-7949	elsevier-vancouver	numeric
Catalysis Communications	1566-7367	elsevier-with-titles	numeric
Catena	0341-8162	elsevier-harvard	author-date
Catalysis Today	0920-5861	elsevier-with-titles	numeric
Comparative Biochemistry and Physiology, Part A	1095-6433	elsevier-harvard	author-date
Computational Biology and Chemistry	1476-9271	elsevier-harvard	author-date
Comparative Biochemistry and Physiology, Part B	1096-4959	elsevier-harvard	author-date
Comparative Biochemistry and Physiology, Part C	1532-0456	elsevier-harvard	author-date
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics	1744-117X	elsevier-harvard	author-date
Chemico-Biological Interactions	0009-2797	elsevier-with-titles	numeric
Computers in Biology and Medicine	0010-4825	elsevier-with-titles	numeric
Cognitive and Behavioral Practice	1077-7229	apa	author-date
Clinica Chimica Acta	0009-8981	elsevier-vancouver	numeric
Cancer Cell	1535-6108	elsevier-harvard	author-date
Chinese Chemical Letters	1001-8417	elsevier-with-titles	numeric
Coordination Chemistry Reviews	0010-8545	elsevier-without-titles	numeric
City, Culture and Society	1877-9166	apa	author-date
Cement and Concrete Composites	0958-9465	elsevier-vancouver	numeric
Clinical Epidemiology and Global Health	2213-3984	american-medical-association	numeric
Chemical Engineering Journal	1385-8947	elsevier-with-titles	numeric
Cell	0092-8674	elsevier-harvard	author-date
Cell Reports	2211-1247	elsevier-harvard	author-date
Cement and Concrete Research	0008-8846	elsevier-with-titles	numeric
Coastal Engineering	0378-3839	elsevier-harvard	author-date
Chemical Engineering & Processing: Process Intensification	0255-2701	elsevier-with-titles	numeric
Ceramics International	0272-8842	elsevier-with-titles	numeric
Cerevisia	1373-7163	elsevier-harvard	author-date
Chemical Engineering Science	0009-2509	elsevier-harvard	author-date
Cuadernos de Economía	0210-0266	elsevier-harvard	author-date
Computers, Environment and Urban Systems	0198-9715	apa	author-date
Cytokine and Growth Factor Reviews	1359-6101	elsevier-vancouver	numeric
Chaos, Solitons and Fractals: the interdisciplinary journal of Nonlinear Science, and Nonequilibrium and Complex Phenomena	0960-0779	elsevier-vancouver	numeric
Computers in Human Behavior	0747-5632	apa	author-date
Chemistry & Biology	1074-5521	elsevier-harvard	author-date
Chemosphere	0045-6535	elsevier-harvard	author-date
Chemie der Erde - Geochemistry - Interdisciplinary Journal for Chemical Problems of the Geosciences and Geoecology	0009-2819	elsevier-harvard	author-date
Chemical Geology	0009-2541	elsevier-harvard	author-date
Chemometrics and Intelligent Laboratory Systems	0169-7439	elsevier-with-titles	numeric
Chemical Physics	0301-0104	elsevier-with-titles	numeric
Journal of Chemical Neuroanatomy	0891-0618	elsevier-harvard	author-date
Chemical Engineering Research and Design	0263-8762	elsevier-harvard	author-date
Child Abuse & Neglect	0145-2134	apa	author-date
China Economic Review	1043-951X	apa	author-date
Chirurgie de la main	1297-3203	elsevier-vancouver	numeric
Acta Ecologica Sinica	1872-2032	elsevier-with-titles	numeric
Cell Host & Microbe	1931-3128	elsevier-harvard	author-date
Comparative Immunology, Microbiology and Infectious Diseases	0147-9571	elsevier-vancouver	numeric
Advances in Colloid and Interface Science	0001-8686	elsevier-vancouver	numeric
The Crop Journal	2214-5141	elsevier-with-titles	numeric
China Journal of Accounting Research	1755-3091	elsevier-harvard	author-date
Canadian Journal of Cardiology	0828-282X	american-medical-association	numeric
Contact Lens and Anterior Eye	1367-0484	elsevier-vancouver	numeric
Applied Clay Science	0169-1317	elsevier-harvard	author-date
Clinical Biochemistry	0009-9120	elsevier-vancouver	numeric
Clinical Breast Cancer	1526-8209	american-medical-association	numeric
Clinical Colorectal Cancer	1533-0028	american-medical-association	numeric
Clinical Genitourinary Cancer	1558-7673	american-medical-association	numeric
Clinical Neurology and Neurosurgery	0303-8467	elsevier-vancouver	numeric
Clinical Neurophysiology	1388-2457	vancouver-author-date	author-date
Clinics and Research in Hepatology and Gastroenterology	2210-7401	elsevier-vancouver	numeric
Clinical Therapeutics	0149-2918	american-medical-association	numeric
Clinical Lung Cancer	1525-7304	american-medical-association	numeric
Clinical Lymphoma, Myeloma and Leukemia	2152-2650	american-medical-association	numeric
Computer Law & Security Review: The International Journal of Technology Law and Practice	0267-3649	vancouver-author-date	author-date
Computer Methods in Applied Mechanics and Engineering	0045-7825	elsevier-with-titles	numeric
Cell Metabolism	1550-4131	elsevier-harvard	author-date
Computerized Medical Imaging and Graphics	0895-6111	elsevier-vancouver	numeric
Current Medicine Research and Practice	2352-0817	american-medical-association	numeric
Cahiers de Nutrition et de Diététique	0007-9960	elsevier-vancouver	numeric
Communications in Nonlinear Science and Numerical Simulation	1007-5704	elsevier-vancouver	numeric
Current Opinion in Chemical Engineering	2211-3398	elsevier-with-titles	numeric
Current Opinion in Colloid & Interface Science	1359-0294	elsevier-vancouver	numeric
Computers and Composition	8755-4615	apa	author-date
Clinical Ovarian and Other Gynecologic Cancer	2212-9553	american-medical-association	numeric
Cognitive Development	0885-2014	apa	author-date
Computers and Geotechnics	0266-352X	elsevier-vancouver	numeric
International Journal of Coal Geology	0166-5162	elsevier-harvard	author-date
Cognition	0010-0277	apa	author-date
Cognitive Systems Research	1389-0417	apa	author-date
Colloids and Interface Science Communications	2215-0382	elsevier-with-titles	numeric
Collegian	1322-7696	apa	author-date
Colloids and Surfaces A: Physicochemical and Engineering Aspects	0927-7757	elsevier-with-titles	numeric
Colloids and Surfaces B: Biointerfaces	0927-7765	elsevier-with-titles	numeric
Cold Regions Science and Technology	0165-232X	elsevier-harvard	author-date
Computer Aided Geometric Design	0167-8396	elsevier-harvard	author-date
Combinatorial Chemistry - an Online journal	1464-3383	elsevier-vancouver	numeric
Computer Communications	0140-3664	elsevier-with-titles	numeric
Computational Geometry: Theory and Applications	0925-7721	elsevier-with-titles	numeric
Computers in Industry	0166-3615	elsevier-with-titles	numeric
Computer Languages, Systems & Structures	1477-8424	elsevier-vancouver	numeric
Computer Methods and Programs in Biomedicine	0169-2607	elsevier-with-titles	numeric
Computational Materials Science	0927-0256	elsevier-without-titles	numeric
Computers and Electronics in Agriculture	0168-1699	elsevier-harvard	author-date
Computer Physics Communications	0010-4655	elsevier-with-titles	numeric
Computer Networks	1389-1286	elsevier-with-titles	numeric
Computational and Theoretical Chemistry	2210-271X	elsevier-with-titles	numeric
Comptes rendus - Physique	1631-0705	elsevier-with-titles	numeric
Computational Statistics and Data Analysis	0167-9473	elsevier-harvard	author-date
Contraception	0010-7824	elsevier-vancouver	numeric
Contemporary Clinical Trials	1551-7144	elsevier-vancouver	numeric
Journal of Contaminant Hydrology	0169-7722	elsevier-harvard	author-date
Control Engineering Practice	0967-0661	apa	author-date
Journal of Controlled Release	0168-3659	elsevier-with-titles	numeric
Journal of Corporate Finance	0929-1199	elsevier-harvard	author-date
Cortex	0010-9452	apa	author-date
Computers & Security	0167-4048	vancouver-author-date	author-date
Computer Science Review	1574-0137	elsevier-with-titles	numeric
Current Opinion in Solid State & Materials Science	1359-0286	elsevier-vancouver	numeric
Composite Structures	0263-8223	elsevier-vancouver	numeric
Current Plant Biology	2214-6628	elsevier-with-titles	numeric
Chemistry and Physics of Lipids	0009-3084	elsevier-harvard	author-date
Clinical Plasma Medicine	2212-8166	elsevier-vancouver	numeric
Clinical Psychology Review	0272-7358	apa	author-date
Currents in Pharmacy Teaching and Learning	1877-1297	american-medical-association	numeric
Clinical Queries: Nephrology	2211-9477	american-medical-association	numeric
Comptes rendus - Geoscience	1631-0713	elsevier-harvard	author-date
Comptes rendus - Mécanique	1631-0721	elsevier-with-titles	numeric
Comptes rendus - Mathématique	1631-073X	elsevier-with-titles	numeric
Comptes rendus - Biologies	1631-0691	elsevier-with-titles	numeric
Cor et Vasa	0010-8650	elsevier-with-titles	numeric
Case Reports in Women's Health	2214-9112	elsevier-vancouver	numeric
Journal of Crystal Growth	0022-0248	elsevier-with-titles	numeric
Corrosion Science	0010-938X	elsevier-with-titles	numeric
Case Studies in Construction Materials	2214-5095	vancouver-author-date	author-date
Case Studies in Engineering Failure Analysis	2213-2902	elsevier-vancouver	numeric
Case Studies in Fire Safety	2214-398X	elsevier-vancouver	numeric
Computer Standards & Interfaces	0920-5489	elsevier-with-titles	numeric
Case Studies in Thermal Engineering	2214-157X	elsevier-vancouver	numeric
Case Studies in Mechanical Systems and Signal Processing	2351-9886	elsevier-vancouver	numeric
Case Studies in Nondestructive Testing and Evaluation	2214-6571	elsevier-vancouver	numeric
Continental Shelf Research	0278-4343	elsevier-harvard	author-date
Case Studies in Structural Engineering	2214-3998	elsevier-vancouver	numeric
Composites Science and Technology	0266-3538	elsevier-vancouver	numeric
Case Studies on Transport Policy	2213-624X	elsevier-harvard	author-date
Complementary Therapies in Clinical Practice	1744-3881	elsevier-vancouver	numeric
Cancer Treatment Communications	2213-0896	elsevier-with-titles	numeric
Journal of Cultural Heritage	1296-2074	elsevier-with-titles	numeric
Current Biology	0960-9822	elsevier-vancouver	numeric
Current Therapeutic Research	0011-393X	american-medical-association	numeric
Cardiovascular Pathology	1054-8807	elsevier-vancouver	numeric
Children and Youth Services Review	0190-7409	apa	author-date
Digital Applications in Archaeology and Cultural Heritage	2212-0548	elsevier-harvard	author-date
Drug and Alcohol Dependence	0376-8716	elsevier-harvard	author-date
Domestic Animal Endocrinology	0739-7240	elsevier-vancouver	numeric
Physics of the Dark Universe	2212-6864	elsevier-with-titles	numeric
Data & Knowledge Engineering	0169-023X	elsevier-with-titles	numeric
Developmental and Comparative Immunology	0145-305X	elsevier-harvard	author-date
Discourse, Context & Media	2211-6958	elsevier-harvard	author-date
Developmental Cognitive Neuroscience	1878-9293	elsevier-harvard	author-date
Drug Discovery Today: Disease Mechanisms	1740-6765	elsevier-vancouver	numeric
Drug Discovery Today: Disease Models	1740-6757	elsevier-vancouver	numeric
Drug Discovery Today: Therapeutic Strategies	1740-6773	elsevier-vancouver	numeric
Drug Discovery Today: Technologies	1740-6749	elsevier-vancouver	numeric
Decision Support Systems	0167-9236	elsevier-with-titles	numeric
Dendrochronologia	1125-7865	elsevier-harvard	author-date
Dental Materials	0109-5641	elsevier-vancouver	numeric
Desalination	0011-9164	elsevier-with-titles	numeric
Journal of Dermatological Science	0923-1811	elsevier-vancouver	numeric
Journal of Dermatological Science Supplement	1574-0757	elsevier-vancouver	numeric
Developmental Cell	1534-5807	elsevier-harvard	author-date
Journal of Development Economics	0304-3878	elsevier-harvard	author-date
Disability and Health Journal	1936-6574	american-medical-association	numeric
Diabetes Research and Clinical Practice	0168-8227	elsevier-vancouver	numeric
Diabetes and Metabolism	1262-3636	elsevier-vancouver	numeric
Diamond & Related Materials	0925-9635	elsevier-with-titles	numeric
Differentiation	0301-4681	elsevier-harvard	author-date
Differential Geometry and its Applications	0926-2245	elsevier-with-titles	numeric
Diagnostic and Interventional Imaging	2211-5684	elsevier-vancouver	numeric
Digital Investigation	1742-2876	vancouver-author-date	author-date
Discrete Optimization	1572-5286	elsevier-with-titles	numeric
Displays	0141-9382	elsevier-with-titles	numeric
Drug Invention Today	0975-7619	american-medical-association	numeric
Digestive and Liver Disease Supplements	1594-5804	elsevier-vancouver	numeric
Diagnostic Microbiology & Infectious Disease	0732-8893	vancouver-author-date	author-date
International Journal of Developmental Neuroscience	0736-5748	elsevier-harvard	author-date
DNA Repair	1568-7864	elsevier-with-titles	numeric
Douleurs Evaluation - Diagnostic - Traitement	1624-5687	elsevier-vancouver	numeric
International Journal of Drug Policy	0955-3959	apa	author-date
Deep-Sea Research Part I	0967-0637	elsevier-harvard	author-date
Deep-Sea Research Part II	0967-0645	elsevier-harvard	author-date
Diabetes & Metabolic Syndrome: Clinical Research & Reviews	1871-4021	elsevier-vancouver	numeric
Defence Technology	2214-9147	elsevier-vancouver	numeric
Dynamics of Atmospheres and Oceans	0377-0265	elsevier-harvard	author-date
Journal of Economic Dynamics and Control	0165-1889	elsevier-harvard	author-date
Dyes and Pigments	0143-7208	elsevier-vancouver	numeric
Electrochimica Acta	0013-4686	elsevier-with-titles	numeric
Engineering Applications of Artificial Intelligence	0952-1976	elsevier-harvard	author-date
Engineering Analysis with Boundary Elements	0955-7997	elsevier-vancouver	numeric
Engineering in Agriculture, Environment and Food	1881-8366	vancouver-author-date	author-date
Economic Analysis and Policy	0313-5926	elsevier-harvard	author-date
Early Childhood Research Quarterly	0885-2006	apa	author-date
Earth-Science Reviews	0012-8252	elsevier-harvard	author-date
Eating Behaviors	1471-0153	apa	author-date
Epilepsy & Behavior Case Reports	2213-3232	elsevier-vancouver	numeric
Education for Chemical Engineers	1749-7728	elsevier-harvard	author-date
Energy Conversion and Management	0196-8904	elsevier-vancouver	numeric
Economic Modelling	0264-9993	elsevier-harvard	author-date
Ecological Complexity	1476-945X	elsevier-harvard	author-date
Economics of Education Review	0272-7757	apa	author-date
Ecological Engineering	0925-8574	elsevier-harvard	author-date
North American Journal of Economics and Finance	1062-9408	apa	author-date
Ecohydrology & Hydrobiology	1642-3593	elsevier-harvard	author-date
Ecological Indicators	1470-160X	elsevier-harvard	author-date
Ecological Informatics	1574-9541	elsevier-harvard	author-date
Ecological Economics	0921-8009	elsevier-harvard	author-date
Economics Letters	0165-1765	elsevier-harvard	author-date
Ecological Modelling	0304-3800	elsevier-harvard	author-date
EconomiA	1517-7580	elsevier-harvard	author-date
Journal of Econometrics	0304-4076	elsevier-harvard	author-date
Ecosystem Services	2212-0416	elsevier-harvard	author-date
